Period,"Wage Price Index","Sydney Consumer Price Index"
Mar-2003,3.9 ,3.1 
Jun-2003,3.9 ,2.5 
Sep-2003,3.8 ,2.1 
Dec-2003,4.0 ,2.3 
Mar-2004,3.6 ,1.9 
Jun-2004,3.7 ,2.3 
Sep-2004,3.4 ,2.6 
Dec-2004,3.1 ,2.6 
Mar-2005,3.7 ,2.2 
Jun-2005,3.9 ,2.5 
Sep-2005,4.3 ,2.9 
Dec-2005,4.3 ,2.4 
Mar-2006,4.1 ,2.8 
Jun-2006,3.9 ,3.8 
Sep-2006,3.7 ,3.8 
Dec-2006,3.8 ,3.2 
Mar-2007,3.8 ,2.2 
Jun-2007,3.8 ,1.7 
Sep-2007,3.9 ,1.3 
Dec-2007,3.9 ,2.4 
Mar-2008,3.8 ,3.9 
Jun-2008,3.9 ,4.3 
Sep-2008,3.7 ,5.0 
Dec-2008,4.0 ,3.7 
Mar-2009,3.8 ,2.4 
Jun-2009,3.7 ,1.3 
Sep-2009,3.5 ,1.3 
Dec-2009,2.9 ,2.2 
Mar-2010,3.1 ,2.9 
Jun-2010,3.0 ,2.9 
Sep-2010,3.5 ,2.6 
Dec-2010,3.8 ,2.4 
Mar-2011,3.9 ,3.2 
Jun-2011,3.8 ,3.8 
Sep-2011,3.5 ,3.7 
Dec-2011,3.8 ,3.2 
Mar-2012,3.5 ,1.7 
Jun-2012,3.5 ,1.3 
Sep-2012,3.7 ,2.3 
Dec-2012,3.2 ,2.5 
Mar-2013,2.9 ,2.8 
Jun-2013,2.8 ,2.6 
Sep-2013,2.3 ,2.1 
Dec-2013,2.5 ,2.6 
Mar-2014,2.6 ,2.8 
Jun-2014,2.5 ,2.8 
Sep-2014,2.6 ,2.2 
Dec-2014,2.4 ,1.7 
Mar-2015,2.1 ,1.6 
Jun-2015,2.1 ,2.2 
Sep-2015,2.2 ,1.9 
Dec-2015,2.1 ,2.0 
Mar-2016,2.1 ,1.3 
Jun-2016,2.2 ,0.9 
Sep-2016,2.1 ,1.7 
Dec-2016,2.1 ,1.8 
Mar-2017,2.1 ,2.4 
