Period,Work done by the public sector,Work done by the private sector for the public sector
Jun-1987,1529,876
Sep-1987,1465,802
Dec-1987,1467,735
Mar-1988,1400,690
Jun-1988,1418,619
Sep-1988,1481,594
Dec-1988,1465,572
Mar-1989,1498,534
Jun-1989,1553,522
Sep-1989,1602,559
Dec-1989,1683,608
Mar-1990,1833,636
Jun-1990,1994,684
Sep-1990,2092,744
Dec-1990,2159,807
Mar-1991,2155,913
Jun-1991,2104,998
Sep-1991,2018,1058
Dec-1991,1958,1117
Mar-1992,1902,1124
Jun-1992,1935,1152
Sep-1992,1940,1103
Dec-1992,1987,1063
Mar-1993,2022,1056
Jun-1993,2170,1087
Sep-1993,2145,1148
Dec-1993,2071,1179
Mar-1994,2066,1313
Jun-1994,1959,1287
Sep-1994,1989,1236
Dec-1994,2130,1179
Mar-1995,2226,1016
Jun-1995,2411,945
Sep-1995,2465,931
Dec-1995,2496,922
Mar-1996,2634,883
Jun-1996,2656,841
Sep-1996,2779,877
Dec-1996,2803,937
Mar-1997,2695,990
Jun-1997,2646,1088
Sep-1997,2525,1103
Dec-1997,2444,1168
Mar-1998,2504,1266
Jun-1998,2548,1323
Sep-1998,2605,1319
Dec-1998,2728,1282
Mar-1999,2748,1238
Jun-1999,2729,1255
Sep-1999,2874,1289
Dec-1999,2908,1345
Mar-2000,2994,1404
Jun-2000,3116,1450
Sep-2000,3104,1556
Dec-2000,3082,1549
Mar-2001,2965,1557
Jun-2001,2981,1545
Sep-2001,2961,1457
Dec-2001,3076,1503
Mar-2002,3094,1381
Jun-2002,3040,1267
Sep-2002,3077,1216
Dec-2002,3083,1194
Mar-2003,3224,1279
Jun-2003,3293,1351
Sep-2003,3298,1449
Dec-2003,3258,1466
Mar-2004,3253,1500
Jun-2004,3289,1573
Sep-2004,3422,1607
Dec-2004,3409,1612
Mar-2005,3418,1669
Jun-2005,3509,1768
Sep-2005,3519,1920
Dec-2005,3702,2099
Mar-2006,3818,2251
Jun-2006,3994,2310
Sep-2006,4135,2273
Dec-2006,4219,2210
Mar-2007,4309,2110
Jun-2007,4162,2040
Sep-2007,4025,1919
Dec-2007,4038,2014
Mar-2008,4061,2219
Jun-2008,4349,2464
Sep-2008,4771,2944
Dec-2008,5105,3348
Mar-2009,5471,3677
Jun-2009,5547,3863
Sep-2009,5690,4077
Dec-2009,5730,4091
Mar-2010,5826,3936
Jun-2010,6015,4023
Sep-2010,6042,3813
Dec-2010,6230,3801
Mar-2011,6480,3974
Jun-2011,6883,4148
Sep-2011,6954,4477
Dec-2011,7010,4587
Mar-2012,6861,4789
Jun-2012,6474,5102
Sep-2012,6346,5390
Dec-2012,6277,5607
Mar-2013,6035,5625
Jun-2013,6083,5518
Sep-2013,5830,5232
Dec-2013,5414,5113
Mar-2014,5089,5067
Jun-2014,4453,4991
Sep-2014,4112,4763
Dec-2014,4057,4599
Mar-2015,4001,4459
Jun-2015,4047,4520
Sep-2015,4128,4786
Dec-2015,4065,5306
Mar-2016,4069,5845
Jun-2016,4217,6217
Sep-2016,4084,6627
Dec-2016,3865,6885
