Period,Services,Goods production,Utilities and Construction,Goods distribution,Regional Employment Total
May-2000,1.8,0.0,1.3,-0.3,2.9
Aug-2000,1.6,0.2,1.4,-0.2,3.0
Nov-2000,1.2,0.4,0.4,0.4,2.4
Feb-2001,1.4,0.2,-0.7,0.7,1.6
May-2001,1.1,0.4,-1.3,0.5,0.7
Aug-2001,1.3,0.2,-1.2,0.0,0.3
Nov-2001,0.8,0.0,-0.2,-0.4,0.1
Feb-2002,0.3,-0.7,0.6,-0.5,-0.3
May-2002,0.4,-1.8,1.1,0.0,-0.3
Aug-2002,0.5,-2.0,0.9,0.6,0.1
Nov-2002,1.3,-2.1,0.9,0.8,0.9
Feb-2003,1.8,-1.1,1.0,0.6,2.3
May-2003,2.3,-1.1,1.2,0.5,3.0
Aug-2003,2.4,-1.1,1.3,0.6,3.2
Nov-2003,2.2,-1.0,0.8,0.6,2.6
Feb-2004,1.6,-0.7,0.5,0.2,1.6
May-2004,1.0,-0.3,0.2,-0.3,0.6
Aug-2004,0.5,-0.3,0.6,-0.9,0.0
Nov-2004,-0.2,-0.4,0.7,-0.6,-0.5
Feb-2005,-0.8,-0.1,0.6,0.0,-0.3
May-2005,-1.4,0.3,0.3,0.7,-0.2
Aug-2005,-1.1,0.7,-0.3,1.0,0.3
Nov-2005,-0.2,0.6,-0.5,0.8,0.7
Feb-2006,1.2,0.3,-0.4,0.4,1.5
May-2006,2.3,0.0,0.2,0.0,2.4
Aug-2006,1.9,-0.1,0.6,-0.1,2.3
Nov-2006,1.2,0.1,0.9,0.3,2.4
Feb-2007,0.4,-0.1,0.9,0.4,1.6
May-2007,0.6,-0.2,0.6,0.8,1.8
Aug-2007,1.3,-0.2,0.1,0.8,1.9
Nov-2007,1.8,-0.1,-0.2,0.8,2.3
Feb-2008,1.8,0.2,-0.2,0.9,2.7
May-2008,0.8,0.3,0.0,0.9,2.0
Aug-2008,0.4,0.4,0.5,0.4,1.7
Nov-2008,0.7,0.1,0.6,-0.6,0.8
Feb-2009,1.1,-0.3,0.4,-1.0,0.2
May-2009,1.1,-0.1,-0.1,-1.1,-0.2
Aug-2009,0.7,0.1,-0.4,-0.8,-0.5
Nov-2009,0.0,0.4,-0.5,-0.5,-0.6
Feb-2010,-0.3,0.4,-0.6,-0.3,-0.8
May-2010,0.0,0.3,-0.3,-0.4,-0.4
Aug-2010,0.5,0.6,-0.1,-0.1,0.8
Nov-2010,1.2,1.1,0.2,-0.2,2.4
Feb-2011,1.9,1.2,0.1,0.3,3.4
May-2011,2.5,0.9,-0.1,-0.1,3.2
Aug-2011,2.4,-0.3,-0.2,-0.1,1.8
Nov-2011,1.8,-1.1,-0.3,0.0,0.3
Feb-2012,0.3,-1.4,0.2,0.0,-0.9
May-2012,-0.4,-1.1,0.4,0.3,-0.9
Aug-2012,-1.1,-0.3,0.4,0.1,-0.9
Nov-2012,-0.5,0.2,0.1,0.1,0.0
Feb-2013,0.4,0.5,-0.4,0.3,0.9
May-2013,0.7,0.2,-0.4,0.7,1.2
Aug-2013,1.2,-0.5,0.0,0.5,1.3
Nov-2013,0.5,-0.9,0.6,0.0,0.3
Feb-2014,0.3,-1.0,1.2,-0.8,-0.3
May-2014,-0.8,-0.3,1.3,-0.7,-0.6
Aug-2014,-1.3,0.3,0.9,-0.3,-0.3
Nov-2014,-1.4,0.5,0.6,0.6,0.3
Feb-2015,-0.3,0.4,-0.1,0.8,0.8
May-2015,1.1,-0.4,-0.1,0.3,0.9
Aug-2015,2.8,-0.7,-0.4,-0.4,1.3
Nov-2015,4.5,-1.0,-0.6,-0.6,2.3
Feb-2016,4.8,-0.5,-0.5,-0.5,3.3
May-2016,5.3,-0.4,-0.3,-0.3,4.3
Aug-2016,4.0,-0.5,0.1,0.0,3.7
Nov-2016,2.3,-0.5,0.6,-0.2,2.2
Feb-2017,0.1,-0.7,0.9,-0.2,0.0






































































































































